Iteração,API,TIPO,Tempo de Resposta (ms),Tamanho da Resposta (bytes)
75,REST List Repos,rest,380.08,36311
75,GraphQL List Repos,graphql_1,408.38,1006
75,GraphQL List Repos More Info,graphql_2,1740.55,21604
75,REST Get Repo PRs,rest,708.66,1168277
75,GraphQL Get Repo PRs,graphql_1,417.14,3237
75,GraphQL Get Repo PRs More Info,graphql_2,1022.63,27078
76,REST List Repos,rest,381.89,36311
76,GraphQL List Repos,graphql_1,406.87,1006
76,GraphQL List Repos More Info,graphql_2,1432.89,21604
76,REST Get Repo PRs,rest,998.41,1168277
76,GraphQL Get Repo PRs,graphql_1,436.62,3237
76,GraphQL Get Repo PRs More Info,graphql_2,920.83,27078
77,REST List Repos,rest,377.04,36311
77,GraphQL List Repos,graphql_1,463.43,1006
77,GraphQL List Repos More Info,graphql_2,1173.62,21604
77,REST Get Repo PRs,rest,778.71,1168277
77,GraphQL Get Repo PRs,graphql_1,756.82,3237
77,GraphQL Get Repo PRs More Info,graphql_2,879.87,27078
78,REST List Repos,rest,423.75,36311
78,GraphQL List Repos,graphql_1,405.60,1006
78,GraphQL List Repos More Info,graphql_2,1231.44,21604
78,REST Get Repo PRs,rest,830.86,1168277
78,GraphQL Get Repo PRs,graphql_1,499.46,3237
78,GraphQL Get Repo PRs More Info,graphql_2,1124.22,27078
79,REST List Repos,rest,378.30,36311
79,GraphQL List Repos,graphql_1,512.85,1006
79,GraphQL List Repos More Info,graphql_2,1329.83,21604
79,REST Get Repo PRs,rest,983.84,1168277
79,GraphQL Get Repo PRs,graphql_1,654.99,3237
79,GraphQL Get Repo PRs More Info,graphql_2,920.74,27078
80,REST List Repos,rest,379.12,36311
80,GraphQL List Repos,graphql_1,413.96,1006
80,GraphQL List Repos More Info,graphql_2,1325.59,21604
80,REST Get Repo PRs,rest,784.50,1168277
80,GraphQL Get Repo PRs,graphql_1,445.38,3237
80,GraphQL Get Repo PRs More Info,graphql_2,920.62,27078
81,REST List Repos,rest,378.16,36311
81,GraphQL List Repos,graphql_1,409.54,1006
81,GraphQL List Repos More Info,graphql_2,1741.30,21604
81,REST Get Repo PRs,rest,726.09,1168277
81,GraphQL Get Repo PRs,graphql_1,501.84,3237
81,GraphQL Get Repo PRs More Info,graphql_2,920.69,27078
82,REST List Repos,rest,379.17,36311
82,GraphQL List Repos,graphql_1,511.73,1006
82,GraphQL List Repos More Info,graphql_2,1227.53,21604
82,REST Get Repo PRs,rest,957.26,1168277
82,GraphQL Get Repo PRs,graphql_1,476.85,3237
82,GraphQL Get Repo PRs More Info,graphql_2,920.51,27078
83,REST List Repos,rest,378.44,36311
83,GraphQL List Repos,graphql_1,511.80,1006
83,GraphQL List Repos More Info,graphql_2,1433.53,21604
83,REST Get Repo PRs,rest,677.32,1168277
83,GraphQL Get Repo PRs,graphql_1,448.60,3237
83,GraphQL Get Repo PRs More Info,graphql_2,819.16,27078
84,REST List Repos,rest,377.62,36311
84,GraphQL List Repos,graphql_1,511.88,1006
84,GraphQL List Repos More Info,graphql_2,1334.35,21604
84,REST Get Repo PRs,rest,793.04,1168277
84,GraphQL Get Repo PRs,graphql_1,430.93,3237
84,GraphQL Get Repo PRs More Info,graphql_2,722.24,27078
85,REST List Repos,rest,375.04,36311
85,GraphQL List Repos,graphql_1,511.19,1006
85,GraphQL List Repos More Info,graphql_2,1443.92,21604
85,REST Get Repo PRs,rest,949.36,1168277
85,GraphQL Get Repo PRs,graphql_1,471.12,3237
85,GraphQL Get Repo PRs More Info,graphql_2,928.62,27078
86,REST List Repos,rest,373.72,36311
86,GraphQL List Repos,graphql_1,509.74,1006
86,GraphQL List Repos More Info,graphql_2,1400.93,21604
86,REST Get Repo PRs,rest,910.11,1168277
86,GraphQL Get Repo PRs,graphql_1,556.79,3237
86,GraphQL Get Repo PRs More Info,graphql_2,919.64,27078
87,REST List Repos,rest,378.67,36311
87,GraphQL List Repos,graphql_1,510.90,1006
87,GraphQL List Repos More Info,graphql_2,1638.14,21604
87,REST Get Repo PRs,rest,729.52,1168277
87,GraphQL Get Repo PRs,graphql_1,397.98,3237
